query,lat,lon,lat_min,lat_max,lon_min,lon_max
"Dayton, OH",39.7589478,-84.1916069,39.70185,39.920823,-84.311377,-84.092938
"Anchorage, AK",61.2163129,-149.8948523,60.733788,61.483938,-150.420615,-148.460007
"Las Vegas, NV",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"Augusta, GA",33.4709714,-81.9748429,33.3109714,33.6309714,-82.1348429,-81.8148429
"Santa Barbara, CA",45.5361933,-73.6077401,45.5361433,45.5362433,-73.6077901,-73.6076901
"Santa Rosa, CA",49.26334185,-123.102494274876,49.2630573,49.2636264,-123.1025821,-123.1024064
"Myrtle Beach, SC",33.6956461,-78.8900409,33.6473768,33.791255,-78.978024,-78.7854686
"Tucson, AZ",32.2218917,-110.9262353,31.991623,32.32095,-111.0582298,-110.708206
"Salem, OR",44.9391565,-123.033121,44.8512526,45.0166461,-123.1225903,-122.9350617
"Port St. Lucie, FL",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"Wichita, KS",37.6922361,-97.3375448,37.489018,37.8402,-97.734352,-97.153003
"Springfield, MO",37.2166779,-93.2920373,37.0887889,37.2769839,-93.4132228,-93.1784958
"St. Louis, MO",38.6268039,-90.1994097,38.5323215,38.7743396,-90.3206525,-90.1662923
"Sacramento, CA",38.5815719,-121.4943996,38.437574,38.685506,-121.56012,-121.36274
"Tulsa, OK",36.1556805,-95.9929113,35.968097,36.336505,-96.074478,-95.681597
"Reading, PA",40.335345,-75.9279495,40.296502,40.371251,-75.9606857,-75.890512
"Cleveland, OH",41.5051613,-81.6934446,41.390628,41.604436,-81.8790937,-81.532744
"Springfield, MA",42.1014831,-72.589811,42.0637364,42.1622195,-72.6221576,-72.471087
"York, PA",39.9067499,-76.7008946,39.719917,40.2261551,-77.137425,-76.23869
"Little Rock, AR",34.7464809,-92.2895948,34.6256657,34.8218226,-92.5215905,-92.1506554
"Birmingham, AL",33.5206824,-86.8024326,33.38376,33.678715,-87.122124,-86.57815
"New York City, NY",40.7127281,-74.0060152,40.477399,40.9161785,-74.25909,-73.7001809
"Providence, RI",41.8239891,-71.4128343,41.772414,41.861571,-71.472667,-71.3736135
"Detroit, MI",42.3315509,-83.046640300000007,42.255192,42.4502432,-83.287959,-82.9104391
"Allentown, PA",40.6022059,-75.4712794,40.5499752,40.6361993,-75.5480852,-75.4193521
"Toledo, OH",41.6786754,-83.5127283,41.580266,41.7328519,-83.694237,-83.4546108
"New Haven, CT",41.3082138,-72.9250518,41.2464253,41.35039,-72.998048,-72.860309
"Lafayette, LA",30.2240897,-92.0198427,30.1239592,30.2964622,-92.1077963,-91.9713333
"Youngstown, OH",41.1035786,-80.6520161,41.049951,41.139013,-80.7111685,-80.567932
"Scranton, PA",41.4086874,-75.6621294,41.33978,41.469279,-75.719836,-75.604032
"Daytona Beach, FL",29.2108147,-81.0228331,29.1288338,29.2687678,-81.2115407,-80.9830946
"Baltimore, MD",39.2908816,-76.610759,39.1308816,39.4508816,-76.770759,-76.450759
"Killeen, TX",31.1171441,-97.727796,31.0192438,31.1410159,-97.8244179,-97.647831
"Philadelphia, PA",39.9527237,-75.1635262,39.867005,40.1379593,-75.2802977,-74.9558314
"Virginia Beach, VA",36.8529841,-75.9774183,36.6929841,37.0129841,-76.1374183,-75.8174183
"Chicago, IL",41.8755616,-87.6244212,41.644531,42.0230396,-87.940101,-87.5240812
"Corpus Christi, TX",27.8002542,-97.3955744,27.483569,27.91647,-97.750557,-96.961108
"Albuquerque, NM",35.0841034,-106.6509851,34.946766,35.218203,-106.8821501,-106.4711288
"Los Angeles, CA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681776,-118.1552947
"Beaumont, TX",30.0860459,-94.1018461,29.9731802,30.1891112,-94.2252425,-94.0369115
"Baton Rouge, LA",30.4459596,-91.18738,30.3383782,30.5589767,-91.2350363,-90.9993438
"El Paso, TX",31.7600372,-106.487287,31.6224579,32.001484,-106.6357782,-106.1991528
"Jackson, MS",32.2990384,-90.1847691,32.1390384,32.4590384,-90.3447691,-90.0247691
"McAllen, TX",26.2043691,-98.230082,26.1021346,26.4666626,-98.3180607,-98.1954127
"Miami, FL",25.7742658,-80.1936589,25.7090517,25.8557827,-80.31976,-80.139157
"New Orleans, LA",29.9499323,-90.0701156,29.8654809,30.1994687,-90.14003,-89.6251763
"Flint, MI",43.0171773,-83.7236024,42.8571773,43.1771773,-83.8836024,-83.5636024
"Brownsville, TX",25.9140256,-97.4890856,25.84019,26.2175148,-97.6445529,-97.2736409
"Salinas, CA",36.6744117,-121.6550372,36.638818,36.7344544,-121.691914,-121.590259
"Memphis, TN",35.1490215,-90.0516285,34.994188,35.263879,-90.308366,-89.637089
"Fresno, CA",36.7295295,-119.708861260756,36.728449,36.730442,-119.70935,-119.70836
"Modesto, CA",37.6390972,-120.9968782,37.521933,37.711443,-121.096473,-120.901239
"Mobile, AL",30.6943566,-88.0430541,30.560374,30.843458,-88.221253,-87.956616
"Shreveport, LA",32.5221828,-93.7651944,32.3326915,32.5899405,-93.9478451,-93.679715
"Stockton, CA",49.583333,-99.45,49.543333,49.623333,-99.49,-99.41
"Bakersfield, CA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"San Juan, PR",-25.4206759,-49.2687428522959,-25.4208236,-25.4205568,-49.2689682,-49.2685239
